nationality_name,overall
England,90
Uruguay,89
Germany,89
Morocco,89
Italy,87
Türkiye,86
Italy,85
Argentina,87
Spain,90
France,85
France,84
Portugal,87
Argentina,87
England,86
Spain,84
France,83
Argentina,84
Italy,86
Spain,84
Germany,82
Portugal,89
Egypt,91
Austria,80
England,87
Portugal,84
Netherlands,87
Netherlands,86
Hungary,83
Brazil,89
England,88
Serbia,84
Spain,89
Brazil,86
France,90
Portugal,85
Netherlands,85
Argentina,88
Armenia,83
Belgium,87
Netherlands,81
Georgia,87
Spain,84
England,81
Serbia,81
England,81
Spain,83
Argentina,84
Brazil,80
Austria,82
Algeria,80
Türkiye,80
Spain,82
France,91
Norway,87
Portugal,82
Türkiye,82
Argentina,78
Scotland,85
England,89
France,83
Portugal,84
Germany,82
Brazil,81
Scotland,81
Spain,82
Germany,82
Italy,80
Portugal,83
Brazil,82
Portugal,86
Poland,88
France,81
Croatia,81
Cameroon,85
Belgium,85
England,77
Germany,88
Spain,84
Uruguay,83
Gabon,79
Croatia,83
Côte d'Ivoire,80
Argentina,82
Norway,80
Sweden,83
Portugal,84
Germany,89
United States,78
England,80
Spain,81
France,81
Croatia,81
Belgium,80
Netherlands,80
Scotland,79
Brazil,80
Spain,83
Canada,84
Italy,81
Portugal,79
France,82
Ecuador,87
Croatia,84
Cameroon,82
England,80
Brazil,80
Brazil,80
Denmark,83
Uruguay,80
Japan,79
Norway,90
France,84
England,80
Netherlands,78
Spain,79
Spain,83
Spain,84
United States,82
Argentina,84
Uruguay,79
Spain,85
Spain,81
Scotland,78
Colombia,79
Italy,83
England,87
Venezuela,81
Spain,81
Spain,79
Brazil,82
Germany,79
England,82
Italy,84
Netherlands,84
France,80
Germany,81
France,84
Guinea,87
Czechia,78
Italy,84
Netherlands,81
Denmark,74
Spain,81
Germany,80
Spain,85
Netherlands,77
England,84
Germany,80
Spain,79
Portugal,80
Austria,82
Spain,78
Romania,73
England,82
Belgium,81
France,85
France,85
Germany,82
Sweden,87
Ukraine,80
Brazil,81
Cameroon,81
Romania,77
Netherlands,84
Italy,78
Switzerland,85
Argentina,86
United States,84
Peru,75
Senegal,83
Ghana,83
Spain,78
France,80
Hungary,82
France,79
Malta,75
Spain,80
Korea Republic,85
France,85
England,79
Spain,82
Denmark,78
Colombia,85
Germany,81
Croatia,83
Switzerland,75
Mexico,77
Argentina,78
England,85
Portugal,79
Germany,83
France,80
Spain,79
Saudi Arabia,82
Croatia,78
Ukraine,76
Netherlands,84
Spain,79
Ukraine,78
Brazil,80
United States,81
England,84
France,86
Italy,79
England,79
Spain,83
Italy,79
Scotland,82
France,81
Colombia,81
Algeria,79
Guinea,74
Poland,80
England,83
Brazil,83
Colombia,75
Slovakia,83
Spain,84
Spain,78
Norway,76
Brazil,82
Mexico,78
Italy,79
Netherlands,78
Brazil,83
Italy,75
Scotland,79
Spain,79
Spain,77
Denmark,78
Russia,79
Brazil,78
Brazil,79
Slovakia,83
Switzerland,82
Argentina,78
Denmark,80
Tunisia,80
Switzerland,82
Germany,85
Argentina,86
