team,coach,no,pos,name,caps,goals,club,clubnat
Egypt,Héctor Cúper,1,GK,Essam El Hadary,158,0,Al Taawoun,KSA
Egypt,Héctor Cúper,2,DF,Ali Gabr,21,1,West Bromwich Albion,ENG
Egypt,Héctor Cúper,3,DF,Ahmed Elmohamady,78,2,Aston Villa,ENG
Egypt,Héctor Cúper,4,MF,Omar Gaber,24,0,Los Angeles FC,USA
Egypt,Héctor Cúper,5,MF,Sam Morsy,5,0,Wigan Athletic,ENG
Egypt,Héctor Cúper,6,DF,Ahmed Hegazi,45,1,West Bromwich Albion,ENG
Egypt,Héctor Cúper,7,DF,Ahmed Fathy,126,3,Al Ahly,EGY
Egypt,Héctor Cúper,8,MF,Tarek Hamed,21,0,Zamalek,EGY
Egypt,Héctor Cúper,9,FW,Marwan Mohsen,24,4,Al Ahly,EGY
Egypt,Héctor Cúper,10,FW,Mohamed Salah,57,33,Liverpool,ENG
Egypt,Héctor Cúper,11,FW,Kahraba,19,3,Al-Ittihad,KSA
Egypt,Héctor Cúper,12,DF,Ayman Ashraf,4,0,Al Ahly,EGY
Egypt,Héctor Cúper,13,DF,Mohamed Abdel Shafy,51,1,Al Fateh,KSA
Egypt,Héctor Cúper,14,FW,Ramadan Sobhi,23,1,Stoke City,ENG
Egypt,Héctor Cúper,15,DF,Mahmoud Hamdy,0,0,Zamalek,EGY
Egypt,Héctor Cúper,16,GK,Sherif Ekramy,22,0,Al Ahly,EGY
Egypt,Héctor Cúper,17,MF,Mohamed Elneny,61,5,Arsenal,ENG
Egypt,Héctor Cúper,18,FW,Shikabala,29,2,Al Raed,KSA
Egypt,Héctor Cúper,19,MF,Abdallah El Said,36,6,KuPS,FIN
Egypt,Héctor Cúper,20,DF,Saad Samir,11,0,Al Ahly,EGY
Egypt,Héctor Cúper,21,MF,Trézéguet,24,2,Kasımpaşa,TUR
Egypt,Héctor Cúper,22,FW,Amr Warda,16,0,Atromitos,GRE
Egypt,Héctor Cúper,23,GK,Mohamed El Shenawy,3,0,Al Ahly,EGY
Russia,Stanislav Cherchesov,1,GK,Igor Akinfeev,106,0,CSKA Moscow,RUS
Russia,Stanislav Cherchesov,2,DF,Mário Fernandes,5,0,CSKA Moscow,RUS
Russia,Stanislav Cherchesov,3,DF,Ilya Kutepov,7,0,Spartak Moscow,RUS
Russia,Stanislav Cherchesov,4,DF,Sergei Ignashevich,122,8,CSKA Moscow,RUS
Russia,Stanislav Cherchesov,5,DF,Andrei Semyonov,6,0,Akhmat Grozny,RUS
Russia,Stanislav Cherchesov,6,MF,Denis Cheryshev,11,0,Villarreal,ESP
Russia,Stanislav Cherchesov,7,MF,Daler Kuzyayev,6,0,Zenit Saint Petersburg,RUS
Russia,Stanislav Cherchesov,8,MF,Yury Gazinsky,6,0,Krasnodar,RUS
Russia,Stanislav Cherchesov,9,MF,Alan Dzagoev,57,9,CSKA Moscow,RUS
Russia,Stanislav Cherchesov,10,FW,Fyodor Smolov,32,12,Krasnodar,RUS
Russia,Stanislav Cherchesov,11,MF,Roman Zobnin,12,0,Spartak Moscow,RUS
Russia,Stanislav Cherchesov,12,GK,Andrey Lunyov,3,0,Zenit Saint Petersburg,RUS
Russia,Stanislav Cherchesov,13,DF,Fyodor Kudryashov,19,0,Rubin Kazan,RUS
Russia,Stanislav Cherchesov,14,DF,Vladimir Granat,12,1,Rubin Kazan,RUS
Russia,Stanislav Cherchesov,15,MF,Aleksei Miranchuk,18,4,Lokomotiv Moscow,RUS
Russia,Stanislav Cherchesov,16,MF,Anton Miranchuk,6,0,Lokomotiv Moscow,RUS
Russia,Stanislav Cherchesov,17,MF,Aleksandr Golovin,19,2,CSKA Moscow,RUS
Russia,Stanislav Cherchesov,18,MF,Yuri Zhirkov,84,2,Zenit Saint Petersburg,RUS
Russia,Stanislav Cherchesov,19,MF,Aleksandr Samedov,48,7,Spartak Moscow,RUS
Russia,Stanislav Cherchesov,20,GK,Vladimir Gabulov,10,0,Club Brugge,BEL
Russia,Stanislav Cherchesov,21,MF,Aleksandr Yerokhin,17,0,Zenit Saint Petersburg,RUS
Russia,Stanislav Cherchesov,22,FW,Artem Dzyuba,23,11,Arsenal Tula,RUS
Russia,Stanislav Cherchesov,23,DF,Igor Smolnikov,27,0,Zenit Saint Petersburg,RUS
Saudi Arabia,Juan Antonio Pizzi,1,GK,Abdullah Al-Mayouf,11,0,Al Hilal,KSA
Saudi Arabia,Juan Antonio Pizzi,2,DF,Mansoor Al-Harbi,40,1,Al Ahli,KSA
Saudi Arabia,Juan Antonio Pizzi,3,DF,Osama Hawsawi,135,7,Al Hilal,KSA
Saudi Arabia,Juan Antonio Pizzi,4,DF,Ali Al-Bulaihi,4,0,Al Hilal,KSA
Saudi Arabia,Juan Antonio Pizzi,5,DF,Omar Hawsawi,42,3,Al Nassr,KSA
Saudi Arabia,Juan Antonio Pizzi,6,DF,Mohammed Al-Breik,11,1,Al Hilal,KSA
Saudi Arabia,Juan Antonio Pizzi,7,MF,Salman Al-Faraj,43,3,Al Hilal,KSA
Saudi Arabia,Juan Antonio Pizzi,8,MF,Yahya Al-Shehri,57,8,Leganés,ESP
Saudi Arabia,Juan Antonio Pizzi,9,MF,Hattan Bahebri,5,0,Al Shabab,KSA
Saudi Arabia,Juan Antonio Pizzi,10,FW,Mohammad Al-Sahlawi,40,28,Al Nassr,KSA
